Date    Day Words
 20210916  1   1148 
 20210917  2   3267 
 20210919  3   5062 
 20210920  4   5251 
 20210921  5   6506 
 20210922  6   6975 
 20210923  7    7993 
 20210924  8   8818 
 20210925  9   9399 
 20210926 10   10560 
 20210927 11   11141 
 20210928 12   11793 
 20210929 13   11982 
 20210930 14   12318 
 20211001 15   12642 
 20211002 16   12762 
 20211003 17   12762 
 20210004 18   14454
 20211005 19   14707
 20211107 20   14801
 20220809 21   16029
 20220811 22   16782
 20220812 23   16888
